name,id,uri
ABBVIE INC.,https://rdf.gleif.org/L1/L-FR5LCKFTG8054YNNRU85,https://company.org/resource/AbbVie%20Inc.
EDWARDS LIFESCIENCES CORPORATION,https://rdf.gleif.org/L1/L-YA13X31F3V31L8TMPR58,https://company.org/resource/Edwards%20Lifesciences%20Corporation
HONEYWELL INTERNATIONAL INC.,https://rdf.gleif.org/L1/L-ISRPG12PN4EIEOEMW547,https://company.org/resource/Honeywell%20International%20Inc.
COMCAST CORPORATION,https://rdf.gleif.org/L1/L-51M0QTTNCGUN7KFCFZ59,https://company.org/resource/Comcast%20Corporation
"General Mills, Inc.",https://rdf.gleif.org/L1/L-2TGYMUGI08PO8X8L6150,https://company.org/resource/General%20Mills%2C%20Inc.
FLEX LTD.,https://rdf.gleif.org/L1/L-549300EAQH74YHD07T53,https://company.org/resource/Flex%20Ltd.
"Albertsons Companies, Inc.",https://rdf.gleif.org/L1/L-549300YKWOC0AOR16R51,https://company.org/resource/Albertsons%20Companies%2C%20Inc.
BANK OF AMERICA CORPORATION,https://rdf.gleif.org/L1/L-9DJT3UXIJIZJI4WXO774,https://company.org/resource/Bank%20of%20America%20Corporation
HEWLETT PACKARD ENTERPRISE COMPANY,https://rdf.gleif.org/L1/L-549300BX44RGX6ANDV88,https://company.org/resource/Hewlett-Packard%20Company
WESTERN DIGITAL CORPORATION,https://rdf.gleif.org/L1/L-549300QQXOOYEF89IC56,https://company.org/resource/Western%20Digital
"CARDINAL HEALTH, INC.",https://rdf.gleif.org/L1/L-CCU46N3GJMF4OK4N7U60,https://company.org/resource/Cardinal%20Health%2C%20Inc.
CAMDEN PROPERTY TRUST,https://rdf.gleif.org/L1/L-5493002MYX22OHYJBD89,https://company.org/resource/Camden%20Property%20Trust
"MetLife, Inc.",https://rdf.gleif.org/L1/L-C4BXATY60WC6XEOZDX54,https://company.org/resource/MetLife%2C%20Inc.
"MACY'S, INC.",https://rdf.gleif.org/L1/L-529900NZQ81TIOW3CW52,https://company.org/resource/Macy%27s%2C%20Inc.
APTIV GLOBAL FINANCING LIMITED,https://rdf.gleif.org/L1/L-549300MWKEKL1DZN0O58,https://company.org/resource/Aptiv%20PLC
LyondellBasell Industries N.V.,https://rdf.gleif.org/L1/L-BN6WCCZ8OVP3ITUUVN49,https://company.org/resource/LyondellBasell%20Industries%20N.V.
"WALGREENS BOOTS ALLIANCE, INC.",https://rdf.gleif.org/L1/L-549300RPTUOIXG4LIH86,https://company.org/resource/Walgreens%20Boots%20Alliance%2C%20Inc.
BAXTER INTERNATIONAL INC.,https://rdf.gleif.org/L1/L-J5OIVXX3P24RJRW5CK77,https://company.org/resource/Baxter%20International%20Inc.
PHILLIPS 66 COMPANY,https://rdf.gleif.org/L1/L-RVJMT2IZVVSKIRJJBH76,https://company.org/resource/Phillips%2066%20Company
Kohl's Corporation,https://rdf.gleif.org/L1/L-549300JF6LPRTRJ0FH50,https://company.org/resource/Kohl%27s%20Corporation
"CBRE, INC.",https://rdf.gleif.org/L1/L-549300MGZWS3ZWNOVV70,https://company.org/resource/CBRE%20inc
HALLIBURTON COMPANY,https://rdf.gleif.org/L1/L-ENYF8GB5SMQZ25S06U51,https://company.org/resource/Halliburton%20Company
"THE GOLDMAN SACHS GROUP, INC.",https://rdf.gleif.org/L1/L-784F5XWPLTWKTBV3E584,https://company.org/resource/The%20Goldman%20Sachs%20Group%2C%20Inc.
"MICRON TECHNOLOGY, INC.",https://rdf.gleif.org/L1/L-B3DXGBC8GAIYWI2Z0172,https://company.org/resource/Micron%20Technology
